gen,pop20,pop50,pop100,pop1000
327,2981.012599,3021.286425,3032.603056,3046.060561
328,2981.2285,3021.286425,3032.603056,3046.060561
329,2981.364471,3021.286425,3032.603056,3046.060561
330,2981.642911,3021.286425,3032.603056,3046.060561
331,2981.857614,3021.286425,3032.603056,3046.060561
332,2981.947131,3021.286425,3032.603056,3046.060561
333,2982.073425,3021.286425,3032.603056,3046.060561
334,2982.270657,3021.286425,3032.603056,3046.060561
335,2982.524037,3021.286425,3032.603056,3046.060561
336,2982.606894,3021.286425,3032.603056,3046.060561
337,2983.279933,3021.296813,3032.603056,3046.060561
338,2983.326106,3021.296813,3032.603056,3046.060561
339,2983.655406,3021.296813,3032.603056,3046.060561
340,2983.679569,3021.296813,3032.603056,3046.060561
341,2984.002923,3021.296813,3032.603056,3046.060561
342,2984.383521,3021.296813,3032.603056,3046.060561
343,2984.536987,3021.296813,3032.603056,3046.060561
344,2984.596446,3021.296813,3032.603056,3046.060561
345,2984.61909,3021.349387,3032.603056,3046.060561
346,2985.039633,3021.349387,3032.603056,3046.060561
347,2985.380888,3021.349387,3032.603056,3046.060561
348,2985.606458,3021.349387,3032.603056,3046.060561
349,2985.669191,3021.349387,3032.603056,3046.060561
350,2986.149758,3021.349387,3032.603056,3046.060561
351,2986.285968,3021.349387,3032.603056,3046.060561
352,2986.400159,3021.349387,3032.603056,3046.060561
353,2986.455165,3021.349387,3032.603056,3046.060561
354,2986.476589,3021.349387,3032.603056,3046.060561
355,2986.668917,3021.349387,3032.603056,3046.060561
356,2986.679172,3021.349387,3032.603056,3046.060561
357,2986.726001,3021.349387,3032.603056,3046.060561
358,2986.917793,3021.349387,3032.603056,3046.060561
359,2987.002831,3021.349387,3032.603056,3046.060561
360,2987.348429,3021.349387,3032.603056,3046.060561
361,2987.614581,3021.349387,3032.603056,3046.060561
362,2988.083416,3021.349387,3032.603056,3046.060561
363,2988.093942,3021.349387,3032.603056,3046.060561
364,2988.210767,3021.349387,3032.603056,3046.060561
365,2988.404263,3021.349387,3032.603056,3046.060561
