gen,bestchrom,roulette,tournament
140,3042.432223,2961.568003,3041.811463
141,3042.432223,2961.568003,3041.811463
142,3042.432223,2961.568003,3041.811463
143,3042.432223,2961.568003,3041.811463
144,3042.432223,2961.568003,3041.811463
145,3042.432223,2963.820696,3041.811463
146,3042.432223,2963.820696,3041.811463
147,3042.432223,2963.820696,3041.811463
148,3042.432223,2963.820696,3041.811463
149,3042.432223,2963.820696,3041.811463
150,3042.432223,2963.820696,3041.811463
151,3042.432223,2963.820696,3041.811463
152,3042.432223,2963.820696,3041.811463
153,3042.432223,2963.820696,3041.811463
154,3042.432223,2963.820696,3041.811463
155,3042.432223,2963.820696,3041.811463
156,3042.432223,2963.820696,3041.811463
157,3042.432223,2963.820696,3041.811463
158,3042.432223,2963.820696,3041.811463
159,3042.432223,2963.820696,3041.811463
160,3042.432223,2963.820696,3041.811463
161,3042.432223,2963.820696,3041.811463
162,3042.432223,2963.820696,3041.811463
163,3042.432223,2963.820696,3041.811463
164,3042.432223,2963.820696,3041.811463
165,3042.432223,2963.820696,3041.811463
166,3042.432223,2963.820696,3041.811463
167,3042.432223,2963.820696,3041.811463
168,3042.432223,2963.820696,3041.811463
169,3042.432223,2963.820696,3041.811463
170,3042.432223,2963.820696,3041.811463
171,3042.432223,2963.820696,3041.811463
172,3042.432223,2963.820696,3041.811463
173,3042.432223,2963.820696,3041.811463
174,3042.432223,2963.820696,3041.811463
175,3042.432223,2963.820696,3041.811463
176,3042.432223,2963.820696,3041.811463
177,3042.432223,2963.820696,3041.811463
178,3042.432223,2963.820696,3041.811463
179,3042.432223,2963.820696,3041.811463
180,3042.432223,2963.820696,3041.811463
181,3042.432223,2963.820696,3041.811463
182,3042.432223,2963.820696,3041.811463
183,3042.432223,2963.820696,3041.811463
184,3042.432223,2963.820696,3041.811463
185,3042.432223,2963.820696,3041.811463
186,3042.432223,2963.820696,3041.811463
187,3042.432223,2963.820696,3041.811463
188,3042.432223,2963.820696,3041.811463
189,3042.432223,2963.820696,3041.811463
190,3042.432223,2963.820696,3041.811463
191,3042.432223,2963.820696,3041.811463
192,3042.432223,2963.820696,3041.811463
193,3042.432223,2963.820696,3041.811463
194,3042.432223,2963.820696,3041.811463
195,3042.432223,2963.820696,3041.811463
196,3042.432223,2963.820696,3041.811463
197,3042.432223,2963.820696,3041.811463
198,3042.432223,2963.820696,3041.811463
199,3042.432223,2963.820696,3041.811463
200,3042.432223,2963.820696,3041.811463
201,3042.432223,2963.820696,3041.811463
202,3042.432223,2963.820696,3041.811463
203,3042.432223,2963.820696,3041.811463
204,3042.432223,2963.820696,3041.811463
205,3042.432223,2963.820696,3041.811463
206,3042.432223,2963.820696,3041.811463
207,3042.432223,2963.820696,3041.811463
208,3042.432223,2963.820696,3041.811463
209,3042.432223,2963.820696,3041.811463
210,3042.432223,2963.820696,3041.811463
211,3042.432223,2963.820696,3041.811463
212,3042.432223,2963.820696,3041.811463
213,3042.432223,2963.820696,3041.811463
214,3042.432223,2963.820696,3041.811463
215,3042.432223,2963.820696,3041.811463
216,3042.432223,2963.820696,3041.811463
217,3042.432223,2963.820696,3041.811463
218,3042.432223,2963.820696,3041.811463
219,3042.432223,2963.820696,3041.811463
220,3042.432223,2963.820696,3041.811463
221,3042.432223,2963.820696,3041.811463
222,3042.432223,2963.820696,3041.811463
223,3042.432223,2963.820696,3041.811463
224,3042.432223,2963.820696,3041.811463
225,3042.432223,2963.820696,3041.811463
226,3042.432223,2963.820696,3041.811463
227,3042.432223,2963.820696,3041.811463
228,3042.432223,2963.820696,3041.811463
229,3042.432223,2963.820696,3041.811463
230,3042.432223,2963.820696,3041.811463
231,3042.432223,2963.820696,3041.811463
